Order_ID,Order_Date,Product,Region,Units_Sold,Unit_Price,Customer_Rating,Total_Revenue
ORD1000,2024-01-01,Smartwatch,South,2,500,4.5,1000
ORD1001,2024-01-02,Headphones,West,8,500,5.0,4000
ORD1002,2024-01-03,Tablet,West,8,80,3.5,640
ORD1003,2024-01-04,Headphones,North,1,80,3.5,80
ORD1004,2024-01-05,Headphones,South,12,500,3.5,6000
ORD1005,2024-01-06,Smartphone,North,3,80,4.5,240
ORD1006,2024-01-07,Tablet,East,10,300,4.0,3000
ORD1007,2024-01-08,Tablet,East,9,500,4.5,4500
ORD1008,2024-01-09,Tablet,North,5,80,4.5,400
ORD1009,2024-01-10,Headphones,West,6,500,4.0,3000
ORD1010,2024-01-11,Smartwatch,West,4,150,5.0,600
ORD1011,2024-01-12,Tablet,North,10,800,3.5,8000
ORD1012,2024-01-13,Headphones,North,2,500,5.0,1000
ORD1013,2024-01-14,Smartphone,East,11,800,3.5,8800
ORD1014,2024-01-15,Smartwatch,West,8,80,4.5,640
ORD1015,2024-01-16,Smartphone,North,11,800,3.5,8800
ORD1016,2024-01-17,Smartwatch,East,13,500,4.5,6500
ORD1017,2024-01-18,Headphones,West,6,150,5.0,900
ORD1018,2024-01-19,Laptop,South,5,80,4.5,400
ORD1019,2024-01-20,Smartwatch,East,9,500,5.0,4500
ORD1020,2024-01-21,Smartphone,West,1,80,4.0,80
ORD1021,2024-01-22,Headphones,West,5,300,4.0,1500
ORD1022,2024-01-23,Smartwatch,East,6,800,4.0,4800
ORD1023,2024-01-24,Laptop,South,5,300,4.5,1500
ORD1024,2024-01-25,Laptop,East,6,500,4.0,3000
ORD1025,2024-01-26,Tablet,West,6,150,3.5,900
ORD1026,2024-01-27,Tablet,North,7,80,5.0,560
ORD1027,2024-01-28,Smartphone,North,4,800,5.0,3200
ORD1028,2024-01-29,Smartwatch,East,14,80,3.5,1120
ORD1029,2024-01-30,Smartwatch,West,11,500,4.5,5500
ORD1030,2024-01-31,Tablet,North,14,80,4.5,1120
ORD1031,2024-02-01,Smartwatch,West,14,800,5.0,11200
ORD1032,2024-02-02,Smartwatch,East,14,500,4.0,7000
ORD1033,2024-02-03,Laptop,North,8,80,4.5,640
ORD1034,2024-02-04,Tablet,West,7,150,4.5,1050
ORD1035,2024-02-05,Headphones,North,9,500,3.5,4500
ORD1036,2024-02-06,Tablet,East,7,500,3.5,3500
ORD1037,2024-02-07,Headphones,West,3,150,4.0,450
ORD1038,2024-02-08,Laptop,North,3,300,4.5,900
ORD1039,2024-02-09,Smartphone,East,8,800,4.5,6400
ORD1040,2024-02-10,Smartwatch,North,5,300,3.5,1500
ORD1041,2024-02-11,Laptop,North,4,80,4.5,320
ORD1042,2024-02-12,Smartwatch,South,8,150,5.0,1200
ORD1043,2024-02-13,Smartphone,South,6,300,3.5,1800
ORD1044,2024-02-14,Smartphone,East,2,500,4.0,1000
ORD1045,2024-02-15,Laptop,South,4,80,3.5,320
ORD1046,2024-02-16,Smartphone,East,12,80,4.5,960
ORD1047,2024-02-17,Headphones,South,11,300,4.0,3300
ORD1048,2024-02-18,Smartphone,North,4,300,3.5,1200
ORD1049,2024-02-19,Smartwatch,East,6,150,5.0,900
ORD1050,2024-02-20,Smartwatch,East,6,800,5.0,4800
ORD1051,2024-02-21,Smartwatch,North,1,300,3.5,300
ORD1052,2024-02-22,Smartwatch,East,14,300,5.0,4200
ORD1053,2024-02-23,Headphones,East,8,500,5.0,4000
ORD1054,2024-02-24,Tablet,South,6,80,5.0,480
ORD1055,2024-02-25,Laptop,East,3,800,4.0,2400
ORD1056,2024-02-26,Smartwatch,West,14,500,5.0,7000
ORD1057,2024-02-27,Smartphone,North,9,150,5.0,1350
ORD1058,2024-02-28,Smartwatch,South,2,150,5.0,300
ORD1059,2024-02-29,Smartphone,South,11,300,4.0,3300
ORD1060,2024-03-01,Smartphone,West,8,300,3.5,2400
ORD1061,2024-03-02,Smartwatch,North,10,150,4.5,1500
ORD1062,2024-03-03,Headphones,North,3,300,5.0,900
ORD1063,2024-03-04,Smartphone,South,13,800,3.5,10400
ORD1064,2024-03-05,Smartphone,East,12,300,5.0,3600
ORD1065,2024-03-06,Smartwatch,South,5,80,4.0,400
ORD1066,2024-03-07,Smartphone,North,6,300,3.5,1800
ORD1067,2024-03-08,Smartphone,West,10,500,4.0,5000
ORD1068,2024-03-09,Smartwatch,South,6,800,5.0,4800
ORD1069,2024-03-10,Smartwatch,North,4,500,5.0,2000
ORD1070,2024-03-11,Laptop,South,3,500,4.0,1500
ORD1071,2024-03-12,Headphones,East,4,80,4.5,320
ORD1072,2024-03-13,Headphones,South,1,800,4.0,800
ORD1073,2024-03-14,Smartphone,South,4,800,5.0,3200
ORD1074,2024-03-15,Headphones,North,1,800,4.0,800
ORD1075,2024-03-16,Smartphone,North,12,800,4.5,9600
ORD1076,2024-03-17,Laptop,North,1,800,4.0,800
ORD1077,2024-03-18,Smartwatch,South,10,80,4.5,800
ORD1078,2024-03-19,Smartwatch,East,14,300,4.5,4200
ORD1079,2024-03-20,Smartwatch,West,6,500,4.0,3000
ORD1080,2024-03-21,Headphones,West,5,800,4.0,4000
ORD1081,2024-03-22,Laptop,North,14,300,3.5,4200
ORD1082,2024-03-23,Headphones,North,11,300,5.0,3300
ORD1083,2024-03-24,Headphones,South,4,500,4.5,2000
ORD1084,2024-03-25,Laptop,West,13,80,3.5,1040
ORD1085,2024-03-26,Laptop,North,11,150,4.0,1650
ORD1086,2024-03-27,Laptop,East,3,150,5.0,450
ORD1087,2024-03-28,Laptop,East,1,300,3.5,300
ORD1088,2024-03-29,Smartwatch,North,6,500,4.5,3000
ORD1089,2024-03-30,Tablet,North,2,150,3.5,300
ORD1090,2024-03-31,Tablet,West,8,300,4.5,2400
ORD1091,2024-04-01,Laptop,West,10,80,4.0,800
ORD1092,2024-04-02,Tablet,South,5,150,5.0,750
ORD1093,2024-04-03,Tablet,West,7,300,5.0,2100
ORD1094,2024-04-04,Laptop,East,10,300,5.0,3000
ORD1095,2024-04-05,Tablet,East,12,800,4.0,9600
ORD1096,2024-04-06,Headphones,North,2,80,4.5,160
ORD1097,2024-04-07,Smartphone,West,13,800,4.0,10400
ORD1098,2024-04-08,Smartphone,South,8,500,5.0,4000
ORD1099,2024-04-09,Laptop,East,2,800,4.0,1600
ORD1100,2024-04-10,Smartwatch,East,4,800,4.0,3200
ORD1101,2024-04-11,Laptop,South,1,150,4.0,150
ORD1102,2024-04-12,Smartwatch,South,5,300,4.5,1500
ORD1103,2024-04-13,Smartphone,East,9,80,3.5,720
ORD1104,2024-04-14,Laptop,East,1,800,3.5,800
ORD1105,2024-04-15,Headphones,South,9,80,4.0,720
