id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h
bitcoin,btc,Bitcoin,67984.0,1364415134292,1,32854656469,68982.0,64124.0,5.5
ethereum,eth,Ethereum,2078.97,250847572713,2,15510300231,2103.19,1905.44,8.9
tether,usdt,Tether,0.999624,183016846523,3,52315215126,0.99984,0.999231,0.0
binancecoin,bnb,BNB,615.01,81897992610,4,804850926,619.7,600.92,2.5
usd-coin,usdc,USDC,0.999783,71770636527,5,14240216698,1.0,0.999478,0.0
ripple,xrp,XRP,1.056,66170880893,6,1682131880,1.072,0.995579,6.1
solana,sol,Solana,81.17,47337013378,7,2886221211,82.45,76.59,5.6
tron,trx,TRON,0.332818,31599334734,8,292453576,0.333927,0.331917,0.4
figure-heloc,figr_heloc,Figure Heloc,1.007,21711866476,9,829522160,1.038,1.004,-1.4
hyperliquid,hype,Hyperliquid,61.91,13757728009,10,435465252,62.52,58.04,4.6
dogecoin,doge,Dogecoin,0.072127,11220422479,11,492986294,0.073742,0.069833,3.4
usds,usds,USDS,1.0,9779019105,12,146223567,1.0,0.999843,0.0
rain,rain,Rain,0.01363009,9766170302,13,31342188,0.01364973,0.01304563,4.3
zcash,zec,Zcash,548.23,9252989948,14,374198957,559.81,501.34,8.9
leo-token,leo,LEO Token,9.32,8573638889,15,488736,9.51,9.06,-2.0
monero,xmr,Monero,414.93,7798881309,16,86091708,419.49,409.09,0.6
chainlink,link,Chainlink,9.89,7396113982,17,420662722,10.02,9.46,4.7
whitebit,wbt,WhiteBIT Coin,58.03,6846305826,18,107138122,59.28,55.35,4.5
cardano,ada,Cardano,0.17884,6702073687,19,294424231,0.182516,0.172753,2.2
stellar,xlm,Stellar,0.165007,5699339013,20,127423053,0.16766,0.153632,7.1
dai,dai,Dai,0.999952,4575370688,21,155010449,1.0,0.999803,0.0
bitcoin-cash,bch,Bitcoin Cash,205.93,4134778422,22,249450319,209.18,202.2,1.6
ethena-usde,usde,Ethena USDe,1.0,4069000220,23,60102451,1.0,0.999398,0.0
usd1-wlfi,usd1,USD1,0.999278,3992689846,24,1246732766,0.99962,0.998954,0.0
canton-network,cc,Canton,0.096633,3801831822,25,9423594,0.094557,0.089529,3.7
